file_name top_left top_right bottom_left bottom_right
1.jpg 111,117 189,121 112,148 187,157
2.jpg 70,124 141,129 72,153 141,158
3.jpg 121,93 190,107 124,120 189,135
4.jpg 114,86 180,103 119,111 182,127
5.jpg 120,96 181,108 120,124 177,136
6.jpg 140,107 205,93 142,135 203,118
7.jpg 140,114 204,98 140,139 201,123
8.jpg 111,115 176,131 116,139 177,157
9.jpg 108,105 172,125 111,132 103,150
10.jpg 119,96 180,107 122,122 182,134
11.jpg 138,125 204,111 139,152 200,134
12.jpg 130,110 197,97 130,138 193,127
13.jpg 115,100 180,115 116,127 179,143
14.jpg 133,87 194,103 134,110 191,129
15.jpg 148,112 217,97 146,140 215,122
16.jpg 135,120 200,111 136,149 199,138
17.jpg 122,82 189,91 123,112 185,123
18.jpg 157,102 223,87 164,141 229,120
19.jpg 96,134 164,114 96,161 161,141
20.jpg 176,36 242,55 180,57 238,76
21.jpg 222,85 289,78 227,126 294,114
22.jpg 75,157 138,163 74,188 136,198
23.jpg 115,106 191,116 113,142 186,155
24.jpg 93,116 168,127 95,154 167,168
25.jpg 52,118 122,129 55,151 121,163
26.jpg 72,127 146,143 68,167 138,183
27.jpg 126,97 184,108 127,122 181,134
28.jpg 137,120 191,111 139,144 192,135
29.jpg 122,93 182,102 123,120 180,131
30.jpg 121,115 184,128 123,140 183,155
31.jpg 138,109 196,97 140,132 194,116
32.jpg 119,92 184,108 122,120 182,133
33.jpg 123,97 183,111 124,120 181,136
34.jpg 133,124 198,111 133,151 195,134
35.jpg 138,123 198,115 142,148 198,135
36.jpg 139,126 203,113 139,150 197,137
37.jpg 131,118 189,108 132,144 188,130
38.jpg 128,78 186,90 127,108 180,117
39.jpg 136,129 197,115 139,158 197,141
40.jpg 122,94 186,107 127,120 185,135
41.jpg 141,112 201,96 142,140 197,122
42.jpg 114,94 117,109 117,121 176,134
43.jpg 136,109 109,94 137,134 190,119
44.jpg 120,87 178,101 125,110 178,125
45.jpg 142,113 199,103 142,138 194,126
46.jpg 123,92 184,105 125,118 183,131
47.jpg 132,110 186,95 134,139 186,121
48.jpg 144,122 204,112 146,148 203,137
49.jpg 117,110 176,120 118,136 176,148
50.jpg 126,113 180,101 128,139 179,123
51.jpg 141,112 193,101 142,136 194,125
52.jpg 140,96 197,87 141,124 195,112
53.jpg 136,95 195,106 137,121 194,135
54.jpg 131,120 187,102 133,148 186,127
55.jpg 126,100 183,114 129,127 183,140
56.jpg 129,90 188,84 134,121 190,110
57.jpg 132,124 194,112 133,152 191,138
58.jpg 132,118 190,109 135,147 189,133
59.jpg 112,75 173,88 110,104 169,117
60.jpg 130,97 187,88 134,128 190,116
61.jpg 161,119 214,105 161,146 212,130
62.jpg 127,100 182,108 129,123 182,131
63.jpg 151,117 204,105 149,143 201,128
64.jpg 126,90 183,99 126,117 181,127
65.jpg 129,80 185,95 130,103 183,118
66.jpg 143,112 202,102 143,137 198,125
67.jpg 129,120 188,112 128,143 184,134
68.jpg 140,113 203,100 140,142 201,127
69.jpg 118,74 182,86 121,103 181,115
70.jpg 140,103 199,95 140,130 196,121
71.jpg 134,88 190,109 134,113 187,133
72.jpg 138,100 197,80 142,128 197,106
73.jpg 129,94 186,111 131,118 183,137
74.jpg 120,94 179,107 122,117 175,134
75.jpg 134,111 193,95 137,133 191,117
76.jpg 138,102 195,82 143,127 195,105
77.jpg 128,94 188,110 132,115 187,133
78.jpg 121,90 175,110 123,110 174,130
79.jpg 123,93 178,107 125,115 177,130
80.jpg 60,40 122,54 66,66 124,82
81.jpg 176,145 232,162 178,166 231,181
82.jpg 188,152 242,170 188,172 240,190
83.jpg 173,43 235,58 174,69 230,83
84.jpg 74,65 128,53 76,88 126,75
85.jpg 77,69 130,51 83,94 131,72
86.jpg 144,108 196,91 144,129 195,110
87.jpg 148,117 200,101 149,137 200,119
88.jpg 140,105 193,90 141,126 192,109
89.jpg 150,107 198,97 151,128 195,118
90.jpg 147,107 199,95 147,128 198,114
91.jpg 144,106 198,93 145,129 196,115
92.jpg 137,113 188,102 138,135 187,121
93.jpg 131,69 187,51 136,92 187,75
94.jpg 72,60 123,46 74,80 122,65
95.jpg 132,98 183,80 134,121 183,100
96.jpg 130,111 177,100 130,130 174,119
97.jpg 126,122 172,129 127,143 172,153
98.jpg 146,110 188,103 147,130 188,122
99.jpg 146,111 185,97 150,129 186,115
100.jpg 148,101 190,111 148,121 189,132
