32 15,455 34,455 15,496 34,496
31 36,455 55,455 36,496 55,496
11 57,455 76,455 57,496 76,496
0 84,455 103,455 84,496 103,496
9 105,455 124,455 105,496 124,496
8 126,455 145,455 126,496 145,496
6 147,455 166,455 147,496 166,496
plate 13,440 171,440 13,506 171,506
10 218,293 244,293 218,348 244,348
10 247,293 273,293 247,348 273,348
30 275,293 301,293 275,348 301,348
4 313,293 339,293 313,348 339,348
5 342,293 368,293 342,348 368,348
0 370,293 396,293 370,348 396,348
9 399,293 425,293 399,348 425,348
plate 215,271 432,271 215,363 432,363
