10 27,285 46,285 27,326 46,326
11 48,285 67,285 48,326 67,326
27 69,285 88,285 69,326 88,326
1 96,285 115,285 96,326 115,326
6 117,285 136,285 117,326 136,326
5 138,285 157,285 138,326 157,326
1 159,285 178,285 159,326 178,326
plate 25,270 183,270 25,336 183,336
29 211,429 224,429 211,458 224,458
20 226,429 239,429 226,458 239,458
27 241,429 255,429 241,458 255,458
3 261,429 275,429 261,458 275,458
5 276,429 290,429 276,458 290,458
5 291,429 305,429 291,458 305,458
3 307,429 320,429 307,458 320,458
plate 209,418 324,418 209,466 324,466
