32 96,142 106,142 96,164 106,164
33 107,142 118,142 107,164 118,164
11 119,142 129,142 119,164 129,164
8 134,142 144,142 134,164 144,164
2 145,142 156,142 145,164 156,164
4 157,142 167,142 157,164 167,164
6 168,142 179,142 168,164 179,164
plate 95,134 181,134 95,169 181,169
22 146,418 164,418 146,454 164,454
12 165,418 183,418 165,454 183,454
31 184,418 202,418 184,454 202,454
9 210,418 227,418 210,454 227,454
4 229,418 246,418 229,454 246,454
1 248,418 265,418 248,454 265,454
2 267,418 284,418 267,454 284,454
plate 144,403 289,403 144,464 289,464
