23 320,378 333,378 320,407 333,407
26 335,378 348,378 335,407 348,407
29 350,378 364,378 350,407 364,407
4 370,378 384,378 370,407 384,407
3 385,378 399,378 385,407 399,407
2 400,378 414,378 400,407 414,407
6 416,378 429,378 416,407 429,407
plate 318,367 433,367 318,415 433,415
22 48,348 61,348 48,377 61,377
13 63,348 76,348 63,377 76,377
18 78,348 92,348 78,377 92,377
4 98,348 112,348 98,377 112,377
7 113,348 127,348 113,377 127,377
4 128,348 142,348 128,377 142,377
4 144,348 157,348 144,377 157,377
plate 46,337 161,337 46,385 161,385
