33 160,461 175,461 160,494 175,494
27 177,461 193,461 177,494 193,494
21 194,461 210,461 194,494 210,494
9 217,461 232,461 217,494 232,494
7 234,461 249,461 234,494 249,494
8 251,461 267,461 251,494 267,494
6 268,461 284,461 268,494 284,494
plate 158,448 288,448 158,503 288,503
22 296,28 308,28 296,53 308,53
17 309,28 321,28 309,53 321,53
21 323,28 335,28 323,53 335,53
9 340,28 352,28 340,53 352,53
9 353,28 365,28 353,53 365,53
2 367,28 379,28 367,53 379,53
8 380,28 392,28 380,53 392,53
plate 295,18 395,18 295,60 395,60
