31 295,223 307,223 295,248 307,248
32 308,223 320,223 308,248 320,248
24 322,223 334,223 322,248 334,248
8 339,223 351,223 339,248 351,248
4 352,223 364,223 352,248 364,248
7 366,223 378,223 366,248 378,248
9 379,223 391,223 379,248 391,248
plate 294,213 394,213 294,255 394,255
17 329,311 338,311 329,329 338,329
22 339,311 348,311 339,329 348,329
16 348,311 357,311 348,329 357,329
6 361,311 370,311 361,329 370,329
2 371,311 379,311 371,329 379,329
1 380,311 389,311 380,329 389,329
2 390,311 398,311 390,329 398,329
plate 328,303 401,303 328,334 401,334
