16 49,296 59,296 49,318 59,318
24 60,296 71,296 60,318 71,318
15 72,296 82,296 72,318 82,318
0 87,296 97,296 87,318 97,318
2 98,296 109,296 98,318 109,318
2 110,296 120,296 110,318 120,318
9 121,296 132,296 121,318 132,318
plate 48,288 134,288 48,323 134,323
29 354,307 364,307 354,329 364,329
29 365,307 376,307 365,329 376,329
30 377,307 387,307 377,329 387,329
4 392,307 402,307 392,329 402,329
9 403,307 414,307 403,329 414,329
4 415,307 425,307 415,329 425,329
0 426,307 437,307 426,329 437,329
plate 353,299 439,299 353,334 439,334
