28 218,102 227,102 218,120 227,120
10 228,102 237,102 228,120 237,120
17 237,102 246,102 237,120 246,120
9 250,102 259,102 250,120 259,120
4 260,102 268,102 260,120 268,120
9 269,102 278,102 269,120 278,120
3 279,102 287,102 279,120 287,120
plate 217,94 290,94 217,125 290,125
32 154,227 178,227 154,278 178,278
21 180,227 205,227 180,278 205,278
30 207,227 231,227 207,278 231,278
1 242,227 267,227 242,278 267,278
6 269,227 293,227 269,278 293,278
2 296,227 320,227 296,278 320,278
4 322,227 346,227 322,278 346,278
plate 151,207 353,207 151,292 353,292
