30 309,354 330,354 309,397 330,397
10 332,354 353,354 332,397 353,397
29 355,354 376,354 355,397 376,397
8 385,354 406,354 385,397 406,397
1 408,354 429,354 408,397 429,397
3 431,354 452,354 431,397 452,397
8 454,354 475,354 454,397 475,397
plate 307,337 480,337 307,409 480,409
21 302,238 317,238 302,271 317,271
32 319,238 335,238 319,271 335,271
13 336,238 352,238 336,271 352,271
8 359,238 374,238 359,271 374,271
0 376,238 391,238 376,271 391,271
7 393,238 409,238 393,271 409,271
7 410,238 426,238 410,271 426,271
plate 300,225 430,225 300,280 430,280
