22 40,162 62,166 33,213 57,214
27 63,166 84,169 58,214 80,215
33 85,169 103,172 81,215 100,216
1 111,173 126,175 108,216 124,217
2 128,176 142,178 126,217 141,217
0 144,178 157,180 143,218 156,218
3 158,180 170,182 158,218 170,219
plate 40,142 173,168 29,228 173,229
29 232,90 264,94 224,165 257,166
28 267,95 296,98 261,166 291,167
32 299,99 325,102 293,167 321,168
4 337,104 361,107 333,168 358,169
6 363,107 385,110 361,169 384,170
8 387,110 408,113 385,170 407,171
0 410,113 429,116 409,171 429,171
plate 232,61 434,95 217,186 434,187
