26 58,92 81,93 65,139 86,139
24 83,93 104,94 88,139 109,140
16 107,95 128,95 111,140 131,140
2 136,96 156,97 139,140 158,140
5 158,97 177,98 160,140 179,140
2 179,98 198,99 181,140 199,140
3 200,99 218,100 200,141 218,141
plate 53,74 222,84 64,150 222,150
15 252,334 273,336 248,380 270,381
14 275,336 294,338 271,381 292,381
23 295,338 314,340 293,381 312,381
9 322,341 338,342 320,382 336,382
1 340,343 355,344 338,382 354,382
8 356,344 371,345 356,383 370,383
2 372,346 386,347 372,383 386,383
plate 252,316 390,333 245,393 390,394
