22 60,423 77,421 49,458 66,458
10 78,421 96,419 67,458 86,457
33 97,419 115,417 87,457 106,457
3 125,417 144,415 116,456 137,456
0 146,414 169,412 139,456 163,455
4 171,412 194,410 165,455 190,454
1 197,410 222,407 194,454 221,454
plate 63,410 230,390 44,469 229,468
22 81,113 110,116 90,170 117,171
16 112,116 139,118 120,171 145,171
23 141,119 165,121 147,171 170,172
5 175,122 197,124 179,172 200,173
2 199,125 219,127 202,173 221,173
6 221,127 240,129 223,173 241,174
8 242,129 260,131 243,174 260,174
plate 74,88 264,113 90,185 264,186
