24 94,69 108,70 88,104 103,104
13 110,70 124,71 105,104 119,104
21 126,71 139,72 121,104 136,105
8 145,73 158,74 142,105 155,105
9 158,74 171,75 156,105 169,105
2 172,75 183,76 170,105 182,106
7 185,76 195,77 184,106 195,106
plate 94,57 198,66 83,114 198,115
24 121,245 154,251 104,327 141,329
17 157,252 186,257 144,329 176,331
21 188,258 213,263 178,331 206,332
3 224,265 246,269 218,333 242,334
2 249,270 269,274 244,334 266,335
4 270,274 288,278 267,335 287,336
2 290,278 306,281 289,336 306,337
plate 124,215 311,261 95,352 311,354
