33 100,31 108,30 105,48 113,47
17 109,30 119,29 115,47 124,47
33 120,29 132,27 125,47 137,47
1 137,26 151,25 142,47 155,46
6 152,25 168,22 156,46 172,46
6 170,22 188,20 173,46 191,45
4 191,19 212,17 193,45 213,44
plate 96,25 219,4 105,52 220,51
23 37,451 65,452 46,505 73,505
15 67,452 94,453 75,505 100,505
10 96,453 120,455 102,505 125,506
9 132,455 156,456 137,506 159,506
0 158,456 181,458 161,506 183,506
0 183,458 205,459 185,506 206,507
2 208,459 228,460 209,507 229,507
plate 30,427 234,440 47,519 234,519
