29 60,27 86,30 72,77 96,77
12 88,30 112,33 97,77 119,78
18 113,33 134,35 120,78 140,79
4 144,36 162,38 148,79 165,79
9 164,39 181,41 167,79 183,80
3 182,41 198,43 185,80 199,80
5 200,43 214,44 201,80 214,81
plate 52,3 218,29 72,89 218,90
30 277,357 303,360 263,419 292,420
33 305,361 329,363 294,420 320,421
28 331,364 352,366 323,421 346,422
4 362,368 382,370 357,422 377,423
6 383,370 402,373 379,423 399,423
9 404,373 421,375 401,424 419,424
6 423,375 438,377 421,424 438,425
plate 279,334 443,360 256,438 442,439
