10 222,346 236,345 214,377 228,376
18 237,344 252,343 229,376 244,376
10 253,343 269,341 246,376 262,375
5 276,341 293,339 270,375 288,375
3 295,339 314,337 290,375 310,374
0 316,337 336,335 312,374 334,374
9 339,335 361,332 336,373 360,373
plate 223,336 367,318 210,385 367,384
14 49,136 77,140 36,205 67,206
14 79,140 106,144 69,206 98,207
18 108,144 132,147 100,207 126,208
2 142,149 164,152 137,209 160,209
3 166,152 186,155 162,209 183,210
6 188,155 206,157 186,210 205,211
5 208,157 225,160 207,211 225,212
plate 49,111 230,142 28,225 230,227
