13 31,327 49,325 43,360 61,359
17 51,325 71,323 63,359 82,359
18 72,322 95,320 84,359 105,358
5 106,318 132,315 116,358 141,357
6 136,315 166,311 144,357 173,356
0 168,311 203,307 175,356 208,355
4 208,307 248,302 212,355 250,354
plate 23,314 260,276 44,368 261,367
33 159,101 175,99 144,139 161,138
27 177,99 196,96 163,138 182,137
23 197,96 217,94 184,137 205,137
1 227,92 250,90 215,136 240,135
3 253,89 278,86 243,135 270,134
2 280,86 308,82 272,134 303,133
5 312,82 344,78 307,133 342,132
plate 162,88 353,58 137,150 352,149
