21 108,395 132,397 95,452 122,453
15 134,397 158,399 124,453 149,454
32 160,399 181,401 152,454 174,454
1 191,402 211,404 185,455 206,455
8 212,404 232,406 208,455 229,456
6 234,406 251,407 231,456 250,456
5 254,407 271,409 252,456 270,456
plate 110,374 275,392 89,470 275,471
25 273,185 285,183 267,210 280,209
18 286,183 299,182 281,209 294,209
12 300,182 315,180 295,209 310,209
8 322,179 337,178 317,208 334,208
6 339,177 357,175 336,208 354,207
8 359,175 378,173 356,207 376,207
3 380,173 402,170 378,207 401,206
plate 274,175 408,156 264,217 408,216
