17 43,84 62,87 48,125 66,126
22 64,87 81,89 68,126 84,126
32 83,89 100,92 86,126 102,127
6 106,92 120,94 108,127 122,128
9 121,94 134,96 123,128 135,128
8 135,96 147,98 136,128 148,128
6 149,98 159,99 150,128 160,129
plate 38,67 162,88 47,136 162,137
24 334,134 355,136 328,183 350,184
13 358,136 377,137 352,184 373,184
28 379,137 398,139 375,184 395,184
7 406,139 424,141 403,185 422,185
9 426,141 443,142 423,185 441,185
8 444,142 461,143 443,185 460,186
3 462,143 478,144 461,186 478,186
plate 334,117 482,130 324,196 482,197
