32 54,199 70,197 71,226 87,226
27 71,197 90,195 88,226 106,225
33 91,194 112,192 107,225 127,225
9 122,191 147,187 137,224 161,224
9 150,187 178,183 163,224 189,223
1 182,183 217,179 193,223 224,222
6 220,178 261,173 227,222 263,221
plate 45,188 274,148 74,233 275,232
20 371,39 389,38 382,69 399,69
26 390,38 408,37 400,69 417,69
28 409,37 428,36 418,69 435,69
5 436,36 455,35 443,69 461,69
1 457,35 477,35 463,69 481,68
9 479,34 499,34 483,68 502,68
7 501,34 522,33 504,68 523,68
plate 364,24 529,16 384,77 529,77
