27 52,125 76,129 48,177 73,178
16 77,129 98,132 74,178 96,179
30 99,132 118,136 97,179 116,180
5 126,137 142,139 124,181 141,181
9 143,140 158,142 142,181 157,182
8 159,142 172,144 159,182 172,182
8 174,144 185,146 173,183 185,183
plate 51,103 189,132 44,193 189,194
17 320,393 340,392 329,429 348,429
31 342,392 362,391 350,429 369,429
28 364,391 385,390 371,429 391,428
3 395,389 417,388 400,428 422,428
9 419,388 442,387 424,428 446,428
4 445,387 469,386 448,428 471,428
2 471,386 497,385 473,427 497,427
plate 315,377 503,366 330,439 503,438
