19 73,416 85,415 86,435 97,435
18 86,415 99,413 98,435 111,434
20 100,413 115,411 111,434 126,434
6 122,410 139,408 133,434 149,433
8 142,408 162,405 151,433 170,433
1 165,405 189,402 172,433 195,432
1 192,401 222,398 197,432 224,431
plate 66,408 231,379 88,440 232,439
29 185,160 203,162 194,198 210,198
24 206,162 222,164 213,198 228,199
19 225,164 241,165 230,199 246,199
1 248,166 263,167 252,199 266,200
4 264,168 278,169 267,200 280,200
9 279,169 293,170 281,200 294,200
7 294,170 306,171 295,200 306,200
plate 178,144 309,160 194,207 309,208
