25 38,151 67,156 28,218 59,219
21 69,156 95,160 61,219 89,221
10 97,160 119,164 91,221 114,222
4 130,166 149,169 125,222 146,223
7 151,169 169,172 148,223 167,224
4 171,172 187,175 169,224 186,225
5 189,175 204,178 188,225 204,225
plate 40,126 208,160 22,238 208,239
23 109,401 141,405 117,468 148,469
27 144,405 173,409 150,469 178,470
21 176,410 201,413 181,470 205,471
6 213,415 236,418 216,471 238,472
0 238,418 259,421 240,472 260,472
1 261,421 279,424 262,473 280,473
1 282,424 299,426 283,473 299,474
plate 102,371 304,407 116,485 304,486
