17 24,467 40,469 26,501 42,502
20 41,469 56,471 44,502 58,502
21 59,471 72,473 60,503 73,503
2 77,474 89,475 79,503 90,504
5 90,475 102,477 91,504 102,504
6 103,477 114,478 104,504 114,504
0 114,478 124,479 115,504 124,505
plate 21,452 126,469 26,511 126,512
11 332,20 348,19 341,50 356,50
27 350,18 367,17 358,50 374,50
15 368,17 387,16 376,49 394,49
4 395,15 415,13 401,49 420,49
7 417,13 439,12 422,49 443,48
9 441,11 464,10 445,48 467,48
8 467,10 492,8 469,48 493,48
plate 327,8 499,-8 342,57 500,56
