24 62,247 75,248 65,276 78,276
32 77,248 90,250 79,276 92,277
32 91,250 103,251 93,277 104,277
4 108,251 118,253 110,277 119,277
8 119,253 130,254 120,277 131,278
4 131,254 140,255 131,278 140,278
2 140,255 150,256 141,278 150,278
plate 59,235 151,248 65,282 151,283
24 262,151 289,154 253,211 281,212
12 291,154 315,156 283,212 309,213
32 317,157 339,159 311,213 335,213
2 350,160 370,162 346,214 367,214
0 372,162 391,164 369,214 389,215
6 393,164 411,166 391,215 409,215
7 413,167 430,168 412,215 429,216
plate 263,128 434,151 247,229 434,230
