27 190,369 221,374 181,442 214,444
15 223,375 252,379 216,444 246,445
15 254,379 278,383 248,445 274,446
1 289,385 311,389 285,446 309,447
1 313,389 333,392 311,448 331,448
4 335,392 353,395 334,448 352,449
1 355,395 371,398 354,449 371,450
plate 190,342 376,380 174,463 376,465
19 87,210 120,214 94,281 126,282
14 123,214 154,218 129,283 159,283
19 157,219 184,222 162,284 188,284
0 196,224 222,227 199,285 224,286
4 223,227 246,230 226,286 247,286
5 248,231 269,233 250,286 270,287
6 271,234 289,236 271,287 290,288
plate 79,179 295,216 92,300 295,301
