21 15,94 48,98 24,163 55,164
26 50,98 81,102 57,164 87,165
10 84,102 111,105 89,165 116,166
2 123,106 149,109 127,166 152,167
9 151,109 174,112 154,167 176,167
8 177,112 198,115 178,167 199,168
4 199,115 219,117 200,168 219,168
plate 7,65 225,97 22,181 225,182
18 55,256 69,257 61,281 73,282
25 70,258 82,259 75,282 86,282
24 82,259 93,260 86,282 96,282
0 98,261 107,262 100,283 109,283
3 108,262 116,263 110,283 117,283
7 117,263 125,264 118,283 126,283
3 126,265 132,265 126,283 133,284
plate 51,243 135,257 61,288 135,288
