15 35,91 47,90 45,111 56,110
24 47,90 60,88 57,110 70,110
19 61,88 76,86 70,110 85,109
2 83,85 100,83 92,109 108,109
4 103,83 123,80 110,109 129,108
6 125,80 149,77 131,108 153,107
7 152,76 181,73 156,107 182,107
plate 29,83 190,54 46,115 191,115
22 59,366 89,367 65,428 94,429
11 93,368 122,369 98,429 126,429
29 124,369 152,370 128,429 155,429
5 164,371 191,372 168,429 194,430
0 194,372 220,373 197,430 222,430
7 222,373 247,374 224,430 248,430
3 250,374 274,375 251,430 275,431
plate 53,340 281,353 64,445 281,445
