29 249,90 256,89 245,103 251,103
15 256,89 263,88 252,103 259,103
23 263,88 270,88 259,103 267,102
6 274,87 282,86 270,102 279,102
2 283,86 290,86 280,102 288,102
4 291,85 301,84 289,102 300,101
5 302,84 311,83 301,101 311,101
plate 250,85 315,76 243,107 315,107
17 73,351 83,350 77,370 88,370
12 84,350 96,348 89,370 101,370
10 97,348 111,346 102,369 116,369
8 118,345 135,342 123,369 139,368
2 137,342 156,339 141,368 159,368
1 159,339 181,336 162,368 184,367
4 184,335 212,332 187,367 213,366
plate 69,343 221,314 78,375 222,375
