18 80,57 89,55 86,73 94,73
11 90,55 101,54 96,73 106,73
13 102,53 114,52 107,73 119,72
5 120,51 134,49 125,72 139,71
2 136,48 153,46 141,71 157,71
3 156,45 178,42 159,71 181,70
4 180,42 207,38 182,70 208,69
plate 77,50 215,22 86,78 215,77
28 226,264 239,263 219,293 233,293
13 240,263 254,261 234,293 249,293
20 256,261 272,259 250,293 266,292
0 278,259 296,257 274,292 292,291
2 298,257 317,254 294,291 314,291
2 319,254 340,252 316,291 338,290
0 343,252 366,249 341,290 366,289
plate 227,255 373,235 216,301 373,300
