21 52,288 80,292 41,357 71,358
32 82,292 109,296 73,358 102,359
17 112,296 135,299 105,359 130,359
5 146,300 168,303 141,360 165,361
6 170,303 190,306 167,361 188,361
2 192,306 211,309 190,361 210,362
6 213,309 230,311 211,362 230,363
plate 52,263 235,293 33,377 235,378
24 198,82 216,82 205,119 223,119
19 218,82 237,81 224,119 242,119
14 239,81 258,80 244,119 263,118
0 266,80 286,79 271,118 290,118
9 289,79 309,79 292,118 312,118
1 311,79 333,78 314,118 334,118
7 335,78 357,77 337,118 358,118
plate 193,68 363,61 205,127 363,127
