24 48,327 69,325 64,365 84,365
27 70,325 94,324 85,365 107,365
28 96,323 120,322 109,365 132,364
0 131,321 158,319 142,364 168,364
4 161,319 189,317 170,364 196,363
9 192,317 222,315 199,363 227,363
6 225,315 257,313 229,363 259,362
plate 38,310 267,290 65,375 268,374
21 234,255 242,254 227,273 236,273
30 243,254 253,252 237,273 247,272
18 254,252 265,250 247,272 259,272
8 270,249 283,247 264,272 277,271
5 285,246 300,244 279,271 295,270
4 302,243 322,240 298,270 318,269
8 323,240 346,236 320,269 345,268
plate 236,249 353,223 224,279 353,277
