17 17,57 55,62 31,137 67,138
31 60,63 94,67 71,138 103,139
20 97,68 128,72 105,139 134,140
7 141,74 168,78 147,141 172,142
6 171,78 195,82 175,142 198,142
1 197,82 220,85 200,142 221,143
9 222,86 243,88 223,143 243,144
plate 5,20 248,66 30,157 248,158
18 295,382 305,381 290,405 301,405
23 307,381 319,379 303,405 315,405
18 320,379 333,378 316,405 330,404
9 339,377 353,376 336,404 350,404
7 355,375 370,374 352,404 368,403
8 373,374 391,372 370,403 389,403
1 392,372 412,370 390,403 411,402
plate 295,373 417,357 288,412 417,412
