24 42,283 69,284 54,334 79,334
30 71,284 97,284 81,334 106,334
22 99,284 124,285 108,334 131,334
1 136,285 160,286 143,334 165,335
9 162,286 186,287 167,335 190,335
5 189,287 211,288 192,335 213,335
9 214,288 237,288 216,335 237,335
plate 34,260 242,268 55,347 243,347
10 242,99 266,100 254,147 276,147
22 269,100 291,102 278,147 300,148
20 294,102 316,103 302,148 322,148
6 325,103 345,105 330,148 350,148
0 347,105 367,106 352,148 370,148
8 369,106 388,107 372,149 390,149
5 390,107 408,108 392,149 409,149
plate 235,79 413,92 254,158 413,158
