29 75,344 97,343 80,389 102,388
11 99,343 123,342 104,388 127,388
14 125,342 148,341 129,388 152,388
1 159,341 185,340 163,388 188,387
2 187,340 213,339 190,387 215,387
3 216,338 243,337 218,387 244,387
2 245,337 273,336 247,387 273,387
plate 70,326 281,315 79,400 281,400
25 280,83 286,82 277,96 282,95
12 286,82 293,81 283,95 290,95
13 294,81 301,80 291,95 298,95
7 305,79 314,78 302,95 311,94
6 315,78 326,76 312,94 324,94
0 327,76 339,74 325,94 338,93
0 341,73 357,71 339,93 356,92
plate 281,79 360,63 275,99 360,98
