12 210,396 221,393 192,422 203,421
30 222,393 235,390 204,421 218,420
19 237,390 252,387 219,420 234,419
2 259,385 279,381 242,418 263,417
0 281,381 303,376 265,417 290,415
8 307,376 335,370 293,415 325,413
9 337,369 373,362 328,413 369,410
plate 215,387 385,344 185,430 383,427
21 92,68 123,72 81,141 114,142
14 126,72 154,76 117,142 147,143
15 156,76 183,79 150,143 177,144
1 194,80 218,83 189,144 214,145
9 220,83 242,86 217,145 240,146
3 244,86 264,89 242,146 263,147
3 266,89 285,91 265,147 285,147
plate 93,40 290,71 74,162 290,163
