32 85,226 94,225 81,245 90,245
14 95,225 104,225 90,245 100,245
19 105,225 114,225 101,245 111,245
4 118,224 128,224 115,245 125,245
1 128,224 139,223 126,245 137,245
8 140,223 150,223 138,245 149,245
7 151,223 162,222 150,244 162,244
plate 86,219 164,215 79,250 164,250
18 203,245 236,248 219,308 249,309
15 239,249 269,252 251,309 279,310
19 271,252 298,255 281,310 305,310
2 310,256 334,258 317,311 339,311
3 336,259 359,261 341,311 362,312
4 361,261 381,263 364,312 383,312
6 384,264 403,265 385,312 403,313
plate 193,216 408,245 220,324 408,325
