18 63,73 91,75 74,128 100,128
17 93,76 119,78 102,128 126,129
18 122,78 146,80 128,129 151,129
7 156,81 178,82 161,129 182,130
0 180,83 201,84 184,130 203,130
2 203,84 223,86 205,130 224,131
5 225,86 243,88 226,131 244,131
plate 56,50 247,70 74,142 248,142
16 163,260 179,259 159,292 175,292
14 180,259 196,259 176,292 192,291
18 197,259 213,258 193,291 210,291
5 221,258 237,257 218,291 235,291
4 239,257 256,256 237,291 254,291
6 258,256 275,255 256,291 274,291
1 277,255 295,254 277,291 295,290
plate 163,247 301,240 156,301 301,301
