17 71,320 96,321 81,368 105,368
18 98,321 122,322 107,368 130,368
16 125,322 148,323 132,368 154,369
5 158,323 180,324 163,369 185,369
6 183,324 204,325 187,369 207,369
0 207,325 228,326 209,369 229,369
9 230,326 250,327 231,369 251,370
plate 64,299 255,309 82,380 255,381
11 316,49 336,48 323,88 343,88
19 338,48 359,47 345,88 365,87
19 361,47 383,46 367,87 388,87
0 394,45 417,44 399,87 421,87
0 419,44 444,42 423,87 447,86
0 447,42 472,41 449,86 474,86
0 476,41 503,39 477,86 503,86
plate 311,33 510,19 323,98 510,98
