25 122,212 155,217 116,289 150,290
11 158,217 188,222 154,290 185,292
26 190,222 218,226 187,292 215,293
4 230,227 254,231 227,293 252,294
7 256,231 278,234 255,294 277,295
5 280,235 300,238 279,295 300,296
8 303,238 322,241 302,296 321,296
plate 120,182 326,220 110,311 326,312
27 28,43 61,47 37,109 68,110
24 64,47 93,51 71,110 99,111
26 96,51 121,55 101,111 125,112
8 133,56 156,59 137,112 158,113
0 158,59 179,62 160,113 181,114
3 181,62 200,65 183,114 201,114
7 202,65 220,68 203,114 220,115
plate 21,13 225,48 37,127 225,128
