28 81,192 95,194 85,225 99,225
16 97,195 111,197 100,225 114,225
32 112,197 124,199 115,226 126,226
2 129,199 140,201 131,226 141,226
1 141,201 151,202 142,226 152,227
5 152,203 160,204 153,227 161,227
7 161,204 170,205 161,227 170,227
plate 77,179 171,197 85,231 171,232
15 254,477 267,478 257,504 269,505
31 268,478 281,479 270,505 283,505
28 282,479 293,480 284,505 295,505
0 299,480 309,481 300,505 310,505
9 310,481 320,482 311,505 321,506
5 321,482 330,483 322,506 331,506
4 331,483 341,484 332,506 341,506
plate 252,466 342,476 256,510 342,511
