29 76,365 92,368 73,402 90,402
14 93,368 108,370 91,403 106,403
33 110,371 123,373 108,403 121,404
3 127,374 139,375 126,404 138,405
7 139,376 149,377 139,405 149,405
8 151,378 160,379 151,405 160,406
2 161,379 169,381 161,406 169,406
plate 76,350 171,371 71,412 171,413
33 208,304 223,303 221,331 235,331
23 225,303 241,301 237,331 252,330
16 243,301 260,299 254,330 271,330
6 268,299 288,297 278,330 297,329
1 291,296 313,294 299,329 320,329
7 316,294 341,292 322,329 345,328
2 344,291 372,289 348,328 374,328
plate 202,294 380,271 223,337 381,336
