17 70,74 91,75 64,119 85,119
30 92,76 111,77 86,119 107,120
23 112,77 130,79 108,120 127,120
2 137,80 153,81 135,120 151,121
1 155,81 170,83 153,121 168,121
8 171,83 185,84 170,121 185,121
9 187,84 200,85 186,121 200,122
plate 70,56 204,71 59,132 204,132
12 179,277 206,281 165,342 195,343
27 208,281 233,285 198,343 225,344
26 235,285 257,288 227,344 250,345
2 267,290 286,293 261,346 282,346
2 287,293 306,296 284,346 303,347
4 307,296 324,298 305,347 322,348
5 326,299 341,301 324,348 340,349
plate 181,252 345,284 158,362 344,363
