19 64,93 82,91 78,124 95,123
19 83,91 103,89 96,123 115,123
25 105,89 125,87 117,123 136,122
0 136,86 159,84 146,122 168,122
1 161,84 188,81 170,122 195,121
4 191,81 220,78 198,121 224,120
6 224,78 257,75 228,120 258,120
plate 57,80 266,52 80,131 267,131
15 316,107 327,107 320,128 331,128
19 328,107 339,108 332,128 342,128
12 339,108 349,108 342,128 352,128
6 354,109 363,109 356,128 365,128
8 364,109 372,110 366,128 374,128
7 373,110 382,110 375,128 383,129
2 383,110 391,111 384,129 391,129
plate 313,97 394,102 320,133 394,133
