21 78,279 89,281 73,305 86,305
31 90,281 100,283 87,305 98,306
15 100,283 109,284 98,306 107,306
9 113,285 121,286 111,306 120,307
5 122,286 128,287 121,307 127,307
3 129,287 136,288 128,307 135,307
1 136,289 142,289 136,308 142,308
plate 79,269 144,282 71,313 144,313
29 170,311 186,309 164,343 179,343
14 187,309 204,308 181,343 198,342
19 206,308 223,306 200,342 218,342
6 231,305 251,304 226,342 247,341
4 253,303 274,301 249,341 271,341
2 276,301 299,299 273,341 297,340
0 301,299 326,297 299,340 325,339
plate 172,299 332,280 160,353 332,352
