25 77,82 104,84 70,142 98,143
24 106,85 131,87 100,143 127,144
27 133,87 156,90 129,144 152,144
9 166,91 187,93 163,145 184,145
6 189,93 209,95 186,145 207,146
9 210,95 228,97 209,146 227,146
7 231,98 247,99 230,146 247,147
plate 78,58 252,81 65,160 252,161
32 181,344 206,345 175,397 200,397
32 208,345 231,346 202,398 227,398
13 233,346 255,347 229,398 252,398
9 266,348 287,349 263,398 284,399
0 289,349 310,350 286,399 308,399
4 311,350 331,351 310,399 330,399
7 334,351 352,352 333,399 352,399
plate 181,323 357,334 171,413 357,413
