30 89,46 96,46 92,59 99,59
30 97,46 104,45 100,59 107,58
19 104,45 112,44 107,58 115,58
2 116,44 125,43 119,58 128,58
1 127,43 136,42 129,58 137,58
1 137,42 148,41 138,58 149,57
1 149,41 160,40 150,57 161,57
plate 87,41 165,31 92,62 165,62
15 229,321 255,324 222,379 249,380
27 257,325 280,328 252,380 276,381
10 282,328 304,331 278,381 301,382
8 313,332 332,334 310,382 330,383
2 334,335 352,337 332,383 350,384
0 353,337 370,339 352,384 369,385
6 371,340 386,342 371,385 386,385
plate 229,298 390,326 217,397 390,398
