12 53,46 84,50 67,106 95,107
22 87,50 114,53 97,107 123,107
12 117,53 142,56 125,108 148,108
9 152,58 174,60 158,108 178,109
2 176,60 197,63 180,109 200,110
9 199,63 218,65 201,110 219,110
3 220,65 237,67 221,110 237,111
plate 44,19 241,50 67,121 241,122
32 300,40 311,39 288,66 299,65
12 312,39 324,37 300,65 313,65
15 326,36 339,34 314,65 329,64
4 346,33 362,31 335,64 353,63
0 364,31 382,28 355,63 375,62
3 384,27 405,24 377,62 400,61
6 408,24 433,20 403,61 431,60
plate 303,32 440,6 283,73 439,71
