29 78,142 95,145 72,184 90,185
26 97,146 112,148 93,185 108,186
23 114,149 128,151 111,186 126,187
3 134,152 146,154 132,187 145,188
3 147,154 159,156 146,188 158,188
8 159,156 170,158 158,188 169,189
9 171,158 180,160 171,189 180,189
plate 78,127 183,150 68,197 183,198
33 188,348 216,351 181,411 210,412
16 219,352 244,355 213,412 240,413
22 246,355 269,358 242,413 265,414
3 279,359 300,362 276,414 297,415
4 301,362 321,365 299,415 320,416
8 323,365 340,367 321,416 339,416
3 342,367 359,369 342,416 359,417
plate 189,323 363,351 176,430 363,431
