11 198,266 221,265 207,312 230,312
27 224,265 249,264 233,312 257,311
15 251,264 276,262 258,311 283,311
4 289,262 316,260 295,311 321,311
1 319,260 348,259 324,311 352,310
0 350,259 380,257 354,310 383,310
1 384,257 416,255 386,310 416,309
plate 191,247 424,231 207,324 425,323
23 69,22 87,24 77,58 94,59
24 88,25 105,27 95,59 110,59
10 107,27 122,29 112,59 126,60
4 128,30 140,32 131,60 143,61
1 141,32 153,33 144,61 155,61
5 155,34 166,35 156,61 166,61
5 166,35 176,36 167,61 176,62
plate 64,5 178,26 78,68 179,68
