28 42,432 63,433 29,481 52,482
28 65,433 85,434 55,482 77,482
22 87,434 107,436 79,482 100,483
9 115,436 134,437 109,483 129,483
0 136,437 154,438 131,483 151,484
2 156,439 173,440 153,484 171,484
0 174,440 191,441 173,484 191,484
plate 44,414 195,425 23,497 195,497
29 233,286 265,292 217,367 253,369
20 268,293 297,298 256,369 288,370
24 299,298 325,303 290,370 318,372
1 336,305 358,309 330,372 354,373
0 360,310 381,313 356,373 378,374
3 382,314 401,317 380,375 399,375
7 403,317 419,320 401,376 419,376
plate 235,257 424,301 208,391 424,393
