29 143,20 150,19 137,38 144,38
24 152,19 161,17 146,37 155,37
26 162,17 173,15 156,37 167,36
2 178,14 191,12 173,36 186,36
0 193,11 208,9 188,35 204,35
3 211,8 230,5 206,35 227,34
1 231,5 255,0 229,34 255,32
plate 144,14 262,-11 134,43 262,42
24 231,264 239,263 241,278 249,278
22 240,263 250,261 250,278 259,278
13 251,261 263,260 261,278 272,278
9 268,259 282,257 277,277 290,277
6 283,257 300,255 291,277 307,277
2 301,254 322,252 308,276 326,276
0 325,251 348,248 329,276 350,275
plate 225,258 356,234 242,282 357,281
