26 257,217 281,216 271,262 294,262
23 283,216 308,215 296,262 320,262
25 310,215 335,214 322,262 345,261
7 347,214 375,213 356,261 382,261
5 377,213 404,212 384,261 409,261
6 407,212 435,211 412,261 438,261
3 438,211 466,210 441,261 467,260
plate 247,197 475,188 272,273 475,273
22 50,238 76,242 40,299 68,300
33 78,242 102,246 71,300 96,302
32 104,246 125,250 98,302 121,303
7 134,251 152,254 130,303 149,304
3 154,254 171,257 151,304 169,305
3 172,257 188,260 171,305 187,306
3 189,260 204,263 188,306 203,306
plate 51,215 207,247 34,318 207,319
