31 56,260 73,262 49,302 67,303
11 76,262 93,264 70,303 88,304
21 94,264 109,266 89,304 106,304
1 116,266 130,268 113,304 127,305
9 131,268 144,270 129,305 142,305
7 146,270 158,271 144,305 157,306
0 159,271 171,273 158,306 171,306
plate 56,244 174,261 44,315 174,316
20 263,7 269,6 255,22 262,22
32 270,6 277,5 263,22 270,21
25 279,5 287,3 272,21 281,21
5 291,2 301,1 285,21 295,20
1 302,1 314,0 296,20 309,19
5 316,-1 329,-3 311,19 326,19
0 330,-3 347,-6 327,18 346,18
plate 265,2 351,-15 252,27 350,26
