12 20,275 54,280 26,348 58,349
14 56,280 88,285 61,349 91,350
23 90,285 117,289 93,350 120,351
9 129,290 154,294 131,351 155,352
3 156,294 178,297 157,352 179,353
8 180,297 200,300 181,353 201,354
2 202,300 221,303 203,354 221,354
plate 14,245 226,283 23,367 226,368
29 335,420 349,418 346,447 360,447
29 351,418 367,417 361,447 377,446
20 369,416 387,415 379,446 395,446
8 395,414 415,412 403,446 422,446
1 417,412 439,410 424,445 445,445
3 442,410 466,407 447,445 470,445
4 469,407 497,404 472,444 498,444
plate 329,409 504,387 347,453 505,453
