18 86,456 99,456 81,484 94,484
23 100,456 112,457 95,484 108,484
16 113,457 125,458 110,484 122,484
9 130,458 141,458 127,484 139,484
7 142,458 153,459 140,484 151,484
1 154,459 165,459 153,485 164,485
9 166,459 176,460 165,485 176,485
plate 87,446 179,450 79,492 178,492
27 74,253 90,255 78,289 94,289
12 93,255 108,256 96,289 111,290
17 110,256 126,257 113,290 128,290
5 132,258 147,259 134,290 148,290
9 148,259 161,260 149,290 162,291
6 162,260 175,261 163,291 176,291
8 177,261 188,262 177,291 189,291
plate 70,239 192,251 77,298 192,299
