22 199,168 213,166 195,197 208,196
16 214,166 229,165 210,196 225,196
14 230,164 246,163 226,196 242,195
4 253,162 271,160 250,195 268,195
6 273,160 292,158 270,195 290,194
1 295,158 316,155 292,194 315,193
4 319,155 343,152 317,193 342,193
plate 200,158 349,138 192,204 349,203
33 29,337 62,339 41,403 72,404
10 66,339 97,341 76,404 105,404
22 99,341 129,343 107,404 135,405
2 142,344 169,346 147,405 174,406
3 172,346 199,348 177,406 201,406
1 200,348 225,350 203,406 227,406
5 228,350 252,352 230,406 252,407
plate 20,307 258,329 40,420 258,421
