28 57,145 89,149 66,213 96,214
21 91,149 122,152 99,214 128,214
12 125,152 152,155 130,214 157,215
6 164,156 190,159 168,215 193,216
8 192,159 215,162 195,216 217,217
3 218,162 239,164 219,217 240,217
7 241,164 261,166 242,217 261,218
plate 49,117 267,146 64,230 267,231
20 301,423 324,425 288,477 313,478
13 326,426 347,428 316,478 339,478
23 349,428 369,430 341,478 363,479
3 377,431 396,432 372,479 392,480
2 398,433 415,434 394,480 412,480
0 417,434 433,436 414,480 432,481
2 435,436 451,438 434,481 450,481
plate 303,404 454,422 282,493 454,494
