32 67,376 87,377 62,422 83,422
18 89,377 109,378 85,422 105,422
19 111,378 129,379 107,422 127,423
7 137,379 155,380 135,423 154,423
9 157,380 175,381 156,423 174,423
0 177,381 194,381 176,423 193,423
4 196,381 212,382 195,423 212,423
plate 66,360 217,368 59,433 217,434
17 288,43 321,46 296,111 327,112
19 325,46 355,48 331,112 360,113
26 357,49 386,51 362,113 390,113
5 399,52 426,54 402,113 428,114
5 429,54 454,56 431,114 456,114
0 456,56 480,58 458,114 481,115
5 483,58 505,60 483,115 506,115
plate 281,14 511,38 294,129 511,130
