30 60,165 80,166 55,212 76,212
31 82,166 102,167 79,212 99,213
24 104,168 123,168 101,213 121,213
1 131,169 149,170 129,213 147,213
2 151,170 169,171 149,213 167,213
9 170,171 187,172 169,213 187,214
6 189,172 206,173 189,214 205,214
plate 59,149 210,158 52,224 210,224
25 285,101 296,101 276,128 288,128
27 298,100 310,100 290,128 303,128
24 311,99 325,98 304,128 318,127
1 331,98 344,97 324,127 339,127
4 346,97 360,96 341,127 356,126
4 362,95 378,94 358,126 376,126
2 379,94 397,93 377,126 396,126
plate 287,92 401,81 272,136 401,136
