21 82,388 95,390 88,413 100,413
32 97,390 108,391 101,413 112,413
21 108,391 119,392 112,413 122,414
7 124,393 133,394 126,414 135,414
4 135,394 142,395 136,414 144,414
3 143,395 152,396 145,414 152,415
1 153,396 159,397 153,415 160,415
plate 77,376 162,388 88,419 162,419
22 104,66 118,65 114,92 128,91
27 120,64 136,62 129,91 145,91
15 137,62 156,60 146,91 164,90
3 164,59 185,57 172,90 192,89
6 188,56 212,54 194,89 218,89
4 214,53 243,50 220,89 246,88
5 245,50 278,46 249,88 280,87
plate 98,56 287,26 115,98 288,97
