10 5,423 14,422 10,441 19,441
20 15,422 27,420 20,441 31,440
15 27,420 40,418 32,440 45,440
7 46,417 61,415 51,440 65,439
5 63,415 80,413 67,439 83,439
4 82,412 104,409 86,439 106,438
1 106,409 132,406 108,438 132,437
plate 1,416 139,391 10,446 139,445
15 286,127 316,129 301,184 329,185
11 318,130 347,131 331,185 357,185
31 349,132 375,133 360,185 383,186
6 388,134 412,135 395,186 417,186
3 414,136 438,137 419,186 441,186
2 440,137 461,139 443,186 463,187
0 464,139 485,140 466,187 486,187
plate 276,102 490,120 303,199 491,199
