26 369,175 379,174 365,197 375,197
31 380,174 392,172 377,197 389,196
19 393,172 406,171 389,196 403,196
8 412,170 426,168 409,196 423,195
6 428,168 443,166 425,195 441,195
4 445,166 464,164 443,195 463,194
1 465,164 486,161 464,194 486,193
plate 369,167 492,148 363,203 492,203
33 131,377 159,380 113,447 144,448
17 162,380 188,383 147,448 176,449
19 190,383 215,386 179,449 206,449
7 226,387 248,390 217,450 242,451
7 251,390 272,392 245,451 268,451
1 273,392 293,394 270,451 291,452
7 295,395 314,397 293,452 314,453
plate 134,352 319,377 103,468 319,469
